StateProvince,Category,Manufacturer,Segment,SubCategory,OrderDate,OrderID,ProductName,Profit,ProfitCY,Sales,SalesCY
Maryland,Office Supplies,Other,Corporate,Storage,4/28/2019,US-2019-118976,Recycled Steel Personal File for Standard File Folders,$0.13K,,$0.5K,
Ohio,Office Supplies,Carina,Corporate,Storage,4/28/2019,US-2019-140228,"Carina Mini System Audio Rack, Model AR050B",-$0.04K,,$0.2K,
Ohio,Office Supplies,Other,Corporate,Storage,4/28/2019,US-2019-140228,X-Rack File for Hanging Folders,$0.00K,,$0.0K,
New York,Technology,Logitech,Corporate,Accessories,4/28/2019,US-2019-132983,Logitech G600 MMO Gaming Mouse,$0.06K,,$0.2K,
California,Technology,Samsung,Consumer,Phones,4/28/2019,US-2019-131387,Samsung Galaxy Mega 6.3,$0.13K,,$1.7K,
Tennessee,Furniture,Global,Corporate,Chairs,4/29/2019,US-2019-107811,Global Leather Executive Chair,$0.07K,,$0.6K,
Louisiana,Furniture,Global,Consumer,Chairs,4/29/2019,US-2019-142727,"Global Stack Chair without Arms, Black",$0.01K,,$0.1K,
New York,Furniture,DAX,Consumer,Furnishings,4/29/2019,US-2019-134061,Dax Clear Box Frame,$0.01K,,$0.0K,
Louisiana,Office Supplies,Avery,Consumer,Binders,4/29/2019,US-2019-142727,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,$0.01K,,$0.0K,
Tennessee,Office Supplies,Other,Corporate,Storage,4/29/2019,US-2019-107811,2300 Heavy-Duty Transfer File Systems by Perma,$0.00K,,$0.1K,
Delaware,Technology,Square,Consumer,Phones,4/29/2019,US-2019-118304,Square Credit Card Reader,$0.01K,,$0.0K,
Kentucky,Office Supplies,Hunt,Consumer,Art,4/30/2019,US-2019-160094,Hunt Boston Vacuum Mount KS Pencil Sharpener,$0.05K,,$0.2K,
Kentucky,Office Supplies,Other,Consumer,Storage,4/30/2019,US-2019-160094,Economy Rollaway Files,$0.21K,,$0.8K,
Mississippi,Technology,Maxell,Consumer,Accessories,4/30/2019,US-2019-156006,Maxell 4.7GB DVD-RW 3/Pack,$0.02K,,$0.0K,
Ohio,Office Supplies,Belkin,Consumer,Appliances,5/2/2019,US-2019-115056,Belkin 6 Outlet Metallic Surge Strip,$0.00K,,$0.0K,
Florida,Technology,Brother,Consumer,Copiers,5/2/2019,US-2019-124618,Brother DCP1000 Digital 3 in 1 Multifunction Machine,$0.09K,,$0.5K,
New York,Office Supplies,Avery,Consumer,Binders,5/3/2019,US-2019-135755,"Avery Durable Plastic 1"" Binders",$0.00K,,$0.0K,
New York,Office Supplies,GBC,Consumer,Binders,5/3/2019,US-2019-135755,GBC Poly Designer Binding Covers,$0.01K,,$0.0K,
Wisconsin,Office Supplies,Avery,Home Office,Labels,5/3/2019,US-2019-130274,Avery 481,$0.01K,,$0.0K,
Connecticut,Furniture,DAX,Consumer,Furnishings,5/4/2019,US-2019-155271,DAX Wood Document Frame,$0.01K,,$0.0K,
Washington,Furniture,Eldon,Corporate,Furnishings,5/4/2019,US-2019-148194,"Eldon Regeneration Recycled Desk Accessories, Smoke",$0.00K,,$0.0K,
Washington,Office Supplies,Holmes,Corporate,Appliances,5/4/2019,US-2019-148194,Holmes Odor Grabber,$0.02K,,$0.1K,
Texas,Office Supplies,Boston,Consumer,Art,5/4/2019,US-2019-111899,Boston Home & Office Model 2000 Electric Pencil Sharpeners,$0.00K,,$0.0K,
Michigan,Office Supplies,Fellowes,Consumer,Binders,5/4/2019,US-2019-117709,Fellowes Binding Cases,$0.02K,,$0.0K,
Texas,Office Supplies,OIC,Consumer,Fasteners,5/4/2019,US-2019-111899,OIC Thumb-Tacks,$0.00K,,$0.0K,
Texas,Furniture,Global,Consumer,Chairs,5/5/2019,US-2019-110219,"Global Value Mid-Back Manager's Chair, Gray",-$0.01K,,$0.1K,
Kentucky,Office Supplies,Newell,Consumer,Art,5/5/2019,US-2019-166457,Newell 350,$0.00K,,$0.0K,
Virginia,Office Supplies,Storex,Corporate,Binders,5/5/2019,US-2019-111934,Storex Dura Pro Binders,$0.01K,,$0.0K,
Virginia,Office Supplies,Easy-staple paper,Corporate,Paper,5/5/2019,US-2019-111934,Easy-staple paper,$0.02K,,$0.0K,
Kentucky,Office Supplies,Xerox,Consumer,Paper,5/5/2019,US-2019-166457,Xerox 1933,$0.01K,,$0.0K,
Kentucky,Office Supplies,Adams,Consumer,Paper,5/5/2019,US-2019-166457,"Adams ""While You Were Out"" Message Pads",$0.00K,,$0.0K,
Illinois,Office Supplies,Eldon,Corporate,Storage,5/5/2019,US-2019-160738,Eldon Portable Mobile Manager,$0.00K,,$0.0K,
California,Office Supplies,Other,Home Office,Art,5/6/2019,US-2019-154879,Model L Table or Wall-Mount Pencil Sharpener,$0.03K,,$0.1K,
California,Office Supplies,Wilson Jones,Home Office,Binders,5/6/2019,US-2019-121664,Wilson Jones Legal Size Ring Binders,$0.05K,,$0.1K,
California,Office Supplies,Staple-on labels,Home Office,Labels,5/6/2019,US-2019-154879,Staple-on labels,$0.00K,,$0.0K,
Massachusetts,Furniture,Other,Consumer,Chairs,5/7/2019,US-2019-166086,"Lifetime Advantage Folding Chairs, 4/Carton",$0.24K,,$0.9K,
Massachusetts,Furniture,Balt,Consumer,Tables,5/7/2019,US-2019-166086,Balt Split Level Computer Training Table,-$0.04K,,$0.2K,
Massachusetts,Office Supplies,Newell,Consumer,Art,5/7/2019,US-2019-166086,Newell 335,$0.00K,,$0.0K,
Massachusetts,Office Supplies,Acco,Consumer,Binders,5/7/2019,US-2019-166086,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",$0.01K,,$0.0K,
Pennsylvania,Technology,Hewlett-Packard,Consumer,Copiers,5/8/2019,US-2019-116666,Hewlett Packard LaserJet 3310 Copier,$0.24K,,$1.8K,
Kentucky,Office Supplies,Avery,Corporate,Labels,5/9/2019,US-2019-158771,Avery 518,$0.00K,,$0.0K,
Kentucky,Office Supplies,Avery,Corporate,Labels,5/9/2019,US-2019-158771,Avery 506,$0.01K,,$0.0K,
Kentucky,Office Supplies,Other,Corporate,Paper,5/9/2019,US-2019-158771,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),$0.02K,,$0.0K,
Kentucky,Office Supplies,Fellowes,Corporate,Storage,5/9/2019,US-2019-158771,Fellowes Super Stor/Drawer,$0.01K,,$0.1K,
California,Technology,Sony,Consumer,Accessories,5/9/2019,US-2019-102071,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,$0.04K,,$0.2K,
California,Technology,Kingston,Consumer,Accessories,5/9/2019,US-2019-102071,Kingston Digital DataTraveler 32GB USB 2.0,$0.00K,,$0.1K,
Pennsylvania,Furniture,Bestar,Consumer,Bookcases,5/10/2019,US-2019-114181,Bestar Classic Bookcase,-$0.22K,,$0.3K,
California,Furniture,Hon,Consumer,Chairs,5/10/2019,US-2019-103310,Hon Pagoda Stacking Chairs,$0.03K,,$0.3K,
Pennsylvania,Office Supplies,Dixon,Consumer,Art,5/10/2019,US-2019-114181,DIXON Ticonderoga Erasable Checking Pencils,$0.01K,,$0.0K,
Washington,Office Supplies,Strathmore,Consumer,Envelopes,5/10/2019,US-2019-159709,"Strathmore #10 Envelopes, Ultimate White",$0.08K,,$0.2K,
California,Office Supplies,Southworth,Consumer,Paper,5/10/2019,US-2019-103310,Southworth 25% Cotton Premium Laser Paper and Envelopes,$0.02K,,$0.0K,
California,Office Supplies,Acme,Consumer,Supplies,5/10/2019,US-2019-103310,Acme Design Stainless Steel Bent Scissors,$0.01K,,$0.0K,
California,Technology,Other,Consumer,Phones,5/10/2019,US-2019-103310,Wilson Electronics DB Pro Signal Booster,$0.13K,,$1.4K,
Washington,Technology,Other,Consumer,Phones,5/10/2019,US-2019-159709,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",$0.00K,,$0.0K,
Texas,Furniture,Hon,Corporate,Chairs,5/11/2019,US-2019-152100,Hon Multipurpose Stacking Arm Chairs,-$0.07K,,$1.2K,
Texas,Furniture,Deflect-o,Consumer,Furnishings,5/11/2019,US-2019-103849,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",-$0.08K,,$0.1K,
New York,Office Supplies,Staple holder,Corporate,Appliances,5/11/2019,US-2019-127523,Staple holder,$0.01K,,$0.0K,
Illinois,Office Supplies,Avery,Home Office,Binders,5/11/2019,US-2019-119172,Avery Arch Ring Binders,-$0.17K,,$0.1K,
Illinois,Office Supplies,Other,Home Office,Paper,5/11/2019,US-2019-119172,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",$0.01K,,$0.0K,
Texas,Technology,Logitech,Consumer,Accessories,5/11/2019,US-2019-139017,Logitech ClearChat Comfort/USB Headset H390,$0.01K,,$0.0K,
Texas,Technology,SanDisk,Consumer,Accessories,5/11/2019,US-2019-103849,SanDisk Cruzer 64 GB USB Flash Drive,$0.01K,,$0.1K,
Texas,Technology,Other,Consumer,Phones,5/11/2019,US-2019-103849,Xblue XB-1670-86 X16 Small_Office Telephone_- Titanium,$0.01K,,$0.1K,
Wisconsin,Furniture,DAX,Consumer,Furnishings,5/12/2019,US-2019-127159,"DAX Value U-Channel Document Frames, Easel Back",$0.01K,,$0.0K,
Massachusetts,Furniture,Bevis,Consumer,Tables,5/12/2019,US-2019-155887,"Bevis Traditional Conference Table Top, Plinth Base",-$0.13K,,$0.7K,
California,Furniture,Iceberg,Corporate,Chairs,5/13/2019,US-2019-113768,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",$0.02K,,$0.3K,
Florida,Office Supplies,GBC,Home Office,Binders,5/13/2019,US-2019-140165,GBC DocuBind P100 Manual Binding Machine,-$0.33K,,$0.4K,
Florida,Office Supplies,Other,Home Office,Fasteners,5/13/2019,US-2019-140165,Staples,$0.00K,,$0.0K,
California,Office Supplies,Other,Corporate,Paper,5/13/2019,US-2019-113768,EcoTones Memo Sheets,$0.00K,,$0.0K,
Utah,Office Supplies,Fellowes,Consumer,Storage,5/13/2019,US-2019-167164,Fellowes Super Stor/Drawer,$0.01K,,$0.1K,
California,Technology,Plantronics,Consumer,Accessories,5/13/2019,US-2019-114433,Plantronics Audio 478 Stereo USB Headset,$0.05K,,$0.1K,
Florida,Furniture,Electrix,Corporate,Furnishings,5/14/2019,US-2019-106810,Electrix Halogen Magnifier Lamp,$0.02K,,$0.3K,
California,Furniture,Iceberg,Corporate,Chairs,5/16/2019,US-2019-125150,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",$0.02K,,$0.2K,
California,Technology,Imation,Consumer,Accessories,5/16/2019,US-2019-163146,Imation_Clip USB_flash drive_- 8 GB,$0.00K,,$0.1K,
Wisconsin,Office Supplies,Other,Home Office,Binders,5/17/2019,US-2019-148761,Surelock Post Binders,$0.05K,,$0.1K,
Ohio,Furniture,Deflect-o,Consumer,Furnishings,5/18/2019,US-2019-164224,Deflect-o Glass Clear Studded Chair Mats,$0.00K,,$0.1K,
Ohio,Office Supplies,Xerox,Consumer,Paper,5/18/2019,US-2019-164224,Xerox 1949,$0.01K,,$0.0K,
Texas,Office Supplies,Xerox,Consumer,Paper,5/18/2019,US-2019-133963,Xerox 1949,$0.00K,,$0.0K,
Ohio,Technology,Apple,Consumer,Phones,5/18/2019,US-2019-103373,Apple iPhone 5,-$0.17K,,$0.8K,
Michigan,Office Supplies,Avery,Consumer,Binders,5/19/2019,US-2019-107699,Avery Heavy-Duty EZD View Binder with Locking Rings,$0.03K,,$0.1K,
Virginia,Office Supplies,Acme,Consumer,Supplies,5/19/2019,US-2019-130155,Acme Design Stainless Steel Bent Scissors,$0.01K,,$0.0K,
New Hampshire,Furniture,Other,Corporate,Furnishings,5/20/2019,US-2019-114188,24-Hour Round Wall Clock,$0.06K,,$0.1K,
Texas,Furniture,Other,Corporate,Furnishings,5/20/2019,US-2019-130673,Contemporary Borderless Frame,-$0.01K,,$0.0K,
New Hampshire,Office Supplies,Acco,Corporate,Appliances,5/20/2019,US-2019-114188,Acco 6 Outlet Guardian Basic Surge Suppressor,$0.01K,,$0.0K,
New Hampshire,Office Supplies,Sanford,Corporate,Art,5/20/2019,US-2019-114188,"Sanford Colorific Scented Colored Pencils, 12/Pack",$0.01K,,$0.0K,
Texas,Office Supplies,Xerox,Corporate,Paper,5/20/2019,US-2019-130673,Xerox 213,$0.00K,,$0.0K,
Texas,Office Supplies,Rogers,Corporate,Storage,5/20/2019,US-2019-130673,Rogers Profile Extra Capacity Storage Tub,-$0.01K,,$0.1K,
Texas,Technology,SanDisk,Corporate,Accessories,5/20/2019,US-2019-130673,SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,$0.00K,,$0.0K,
Texas,Furniture,Global,Consumer,Chairs,5/21/2019,US-2019-127166,Global Deluxe Steno Chair,-$0.03K,,$0.1K,
Massachusetts,Office Supplies,Belkin,Home Office,Appliances,5/21/2019,US-2019-152443,Belkin 8 Outlet Surge Protector,$0.07K,,$0.2K,
California,Office Supplies,Other,Home Office,Art,5/21/2019,US-2019-104780,4009 Highlighters by Sanford,$0.01K,,$0.0K,
Texas,Office Supplies,Ibico,Consumer,Binders,5/21/2019,US-2019-127166,Ibico Plastic Spiral Binding Combs,-$0.03K,,$0.0K,
Massachusetts,Office Supplies,GBC,Home Office,Binders,5/21/2019,US-2019-152443,GBC ProClick Punch Binding System,$0.22K,,$0.4K,
Virginia,Office Supplies,Fellowes,Corporate,Binders,5/21/2019,US-2019-117639,Fellowes PB300 Plastic Comb Binding Machine,$1.28K,,$2.7K,
Texas,Office Supplies,Staple envelope,Consumer,Envelopes,5/21/2019,US-2019-127166,Staple envelope,$0.02K,,$0.1K,
Texas,Office Supplies,Adams,Consumer,Paper,5/21/2019,US-2019-127166,"Adams Telephone Message Books, 5 1/4¡± x 11¡±",$0.00K,,$0.0K,
Massachusetts,Office Supplies,Xerox,Home Office,Paper,5/21/2019,US-2019-152443,Xerox 1992,$0.01K,,$0.0K,
Virginia,Technology,Plantronics,Corporate,Phones,5/21/2019,US-2019-117639,Plantronics Voyager Pro Legend,$0.17K,,$0.6K,
Alabama,Technology,Nortel,Consumer,Phones,5/22/2019,US-2019-143840,Nortel Networks T7316 E Nt8 B27,$0.03K,,$0.1K,
Alabama,Technology,Plantronics,Consumer,Phones,5/22/2019,US-2019-143840,Plantronics Encore H101 Dual Earpieces_Headset,$0.01K,,$0.0K,
New York,Office Supplies,Other,Consumer,Appliances,5/23/2019,US-2019-135881,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",$0.06K,,$0.2K,
Pennsylvania,Office Supplies,Newell,Consumer,Art,5/23/2019,US-2019-105767,Newell 317,$0.00K,,$0.0K,
New York,Office Supplies,Avery,Consumer,Binders,5/23/2019,US-2019-135881,Avery Non-Stick Binders,$0.01K,,$0.0K,
Pennsylvania,Office Supplies,Angle-D,Consumer,Binders,5/23/2019,US-2019-105767,Angle-D Ring Binders,$0.00K,,$0.0K,
Washington,Office Supplies,Xerox,Consumer,Paper,5/23/2019,US-2019-138513,Xerox 1999,$0.01K,,$0.0K,
New York,Office Supplies,Other,Consumer,Supplies,5/23/2019,US-2019-135881,Letter Slitter,$0.00K,,$0.0K,
Pennsylvania,Technology,Motorola,Consumer,Phones,5/23/2019,US-2019-105767,Motorola L804,-$0.01K,,$0.1K,
Maryland,Office Supplies,Xerox,Consumer,Paper,5/24/2019,US-2019-143413,Xerox 1944,$0.06K,,$0.1K,
Illinois,Furniture,Electrix,Consumer,Furnishings,5/25/2019,US-2019-130379,"Electrix Incandescent Magnifying Lamp, Black",-$0.02K,,$0.0K,
Illinois,Office Supplies,Harmony,Consumer,Appliances,5/25/2019,US-2019-130379,Harmony Air Purifier,-$0.17K,,$0.1K,
New York,Office Supplies,Strathmore,Consumer,Paper,5/25/2019,US-2019-100391,Strathmore Photo Frame Cards,$0.01K,,$0.0K,
California,Furniture,Sauder,Corporate,Bookcases,5/26/2019,US-2019-156349,Sauder Inglewood Library Bookcases,$0.03K,,$0.3K,
California,Furniture,Hon,Consumer,Chairs,5/26/2019,US-2019-158029,Hon Olson Stacker Stools,$0.02K,,$0.2K,
Illinois,Furniture,Global,Consumer,Chairs,5/26/2019,US-2019-144029,Global Commerce Series Low-Back Swivel/Tilt Chairs,-$0.01K,,$0.4K,
Illinois,Office Supplies,Dixon,Consumer,Art,5/26/2019,US-2019-144029,DIXON Ticonderoga Erasable Checking Pencils,$0.00K,,$0.0K,
Utah,Office Supplies,Wirebound,Home Office,Paper,5/26/2019,US-2019-129574,"Wirebound Service Call Books, 5 1/2"" x 4""",$0.02K,,$0.0K,
Illinois,Office Supplies,SAFCO,Consumer,Storage,5/26/2019,US-2019-144029,"SAFCO Mobile Desk Side File, Wire Frame",$0.01K,,$0.1K,
California,Technology,Other,Corporate,Phones,5/26/2019,US-2019-156349,VTech DS6151,$0.02K,,$0.2K,
California,Technology,Other,Corporate,Phones,5/26/2019,US-2019-156349,netTALK DUO VoIP Telephone Service,$0.03K,,$0.1K,
California,Furniture,KI,Corporate,Tables,5/27/2019,US-2019-124429,KI Conference Tables,-$0.03K,,$0.6K,
Illinois,Office Supplies,Fellowes,Consumer,Binders,5/27/2019,US-2019-117058,Fellowes Presentation Covers for Comb Binding Machines,-$0.03K,,$0.0K,
California,Office Supplies,Fellowes,Corporate,Storage,5/27/2019,US-2019-124429,Fellowes Officeware Wire Shelving,$0.01K,,$0.4K,
California,Technology,Logitech,Consumer,Accessories,5/27/2019,US-2019-139192,Logitech Wireless Performance Mouse MX for PC and Mac,$0.04K,,$0.1K,
California,Technology,Plantronics,Consumer,Phones,5/27/2019,US-2019-139192,Plantronics HL10 Handset Lifter,$0.13K,,$1.1K,
Washington,Office Supplies,Other,Consumer,Binders,5/28/2019,US-2019-108861,"Green Canvas Binder for 8-1/2"" x 14"" Sheets",$0.05K,,$0.1K,
Washington,Technology,Imation,Corporate,Accessories,5/28/2019,US-2019-135993,Imation_30456 USB_Flash Drive_8GB,$0.00K,,$0.0K,
Washington,Technology,Other,Corporate,Phones,5/28/2019,US-2019-135993,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,$0.01K,,$0.1K,
Illinois,Furniture,Chromcraft,Consumer,Tables,5/30/2019,US-2019-145800,Chromcraft Rectangular Conference Tables,-$0.18K,,$0.4K,
New York,Office Supplies,Honeywell,Corporate,Appliances,5/30/2019,US-2019-103429,Honeywell Quietcare HEPA Air Cleaner,$0.08K,,$0.2K,
New York,Office Supplies,Wilson Jones,Consumer,Binders,5/30/2019,US-2019-105872,Wilson Jones Legal Size Ring Binders,$0.03K,,$0.1K,
New York,Office Supplies,GBC,Corporate,Binders,5/30/2019,US-2019-103429,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",$0.01K,,$0.0K,
Virginia,Office Supplies,Ampad,Corporate,Paper,5/30/2019,US-2019-146885,"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",$0.01K,,$0.0K,
New York,Office Supplies,Xerox,Corporate,Paper,5/30/2019,US-2019-103429,Xerox 1948,$0.02K,,$0.0K,
Illinois,Technology,Brother,Corporate,Copiers,5/30/2019,US-2019-140473,Brother DCP1000 Digital 3 in 1 Multifunction Machine,$0.13K,,$0.7K,
New York,Technology,Other,Corporate,Phones,5/30/2019,US-2019-103429,Geemarc AmpliPOWER60,$0.13K,,$0.5K,
Mississippi,Technology,Grandstream,Consumer,Phones,5/31/2019,US-2019-166051,Grandstream GXP1160 VoIP phone,$0.03K,,$0.1K,
Mississippi,Technology,Samsung,Consumer,Phones,5/31/2019,US-2019-166051,Samsung Galaxy Note 3,$0.20K,,$0.7K,
Minnesota,Furniture,Global,Home Office,Chairs,6/1/2019,US-2019-131926,Global Deluxe High-Back Manager's Chair,$0.58K,,$2.0K,
Arkansas,Furniture,3M,Consumer,Furnishings,6/1/2019,US-2019-165659,3M Hangers With Command Adhesive,$0.01K,,$0.0K,
Minnesota,Office Supplies,Honeywell,Home Office,Appliances,6/1/2019,US-2019-131926,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,$0.50K,,$1.5K,
Michigan,Office Supplies,Acco,Corporate,Appliances,6/1/2019,US-2019-157070,Acco 6 Outlet Guardian Premium Surge Suppressor,$0.01K,,$0.1K,
New Jersey,Office Supplies,Boston,Home Office,Art,6/1/2019,US-2019-111003,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,$0.08K,,$0.3K,
New Jersey,Office Supplies,GBC,Home Office,Binders,6/1/2019,US-2019-111003,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",$0.02K,,$0.0K,
Michigan,Office Supplies,Wilson Jones,Corporate,Binders,6/1/2019,US-2019-157070,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,$0.07K,,$0.1K,
Minnesota,Office Supplies,Xerox,Home Office,Paper,6/1/2019,US-2019-131926,Xerox 205,$0.01K,,$0.0K,
Minnesota,Office Supplies,Adams,Home Office,Paper,6/1/2019,US-2019-131926,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",$0.02K,,$0.0K,
Minnesota,Office Supplies,SAFCO,Home Office,Storage,6/1/2019,US-2019-131926,Safco Steel Mobile File Cart,$0.04K,,$0.2K,
Arkansas,Technology,Other,Consumer,Phones,6/1/2019,US-2019-165659,Adtran 1202752G1,$0.23K,,$0.9K,
Utah,Furniture,Other,Home Office,Furnishings,6/2/2019,US-2019-104472,Aluminum Document Frame,$0.02K,,$0.1K,
Georgia,Office Supplies,Sanford,Consumer,Art,6/2/2019,US-2019-100895,"Sanford Colorific Scented Colored Pencils, 12/Pack",$0.00K,,$0.0K,
Utah,Office Supplies,GBC,Home Office,Binders,6/2/2019,US-2019-104472,GBC Standard Therm-A-Bind Covers,$0.02K,,$0.1K,
Georgia,Office Supplies,Other,Consumer,Storage,6/2/2019,US-2019-100895,"Hot File 7-Pocket, Floor Stand",$0.11K,,$0.4K,
Georgia,Technology,Other,Consumer,Phones,6/2/2019,US-2019-100895,Mophie Juice Pack Helium for iPhone,$0.07K,,$0.2K,
Illinois,Furniture,Other,Consumer,Furnishings,6/3/2019,US-2019-163867,"Contract Clock, 14"", Brown",-$0.04K,,$0.1K,
Washington,Furniture,KI,Consumer,Tables,6/3/2019,US-2019-135657,KI Adjustable-Height Table,$0.11K,,$0.5K,
Michigan,Office Supplies,Other,Home Office,Envelopes,6/3/2019,US-2019-141299,Security-Tint Envelopes,$0.01K,,$0.0K,
Illinois,Office Supplies,Avery,Consumer,Labels,6/3/2019,US-2019-163867,Avery 513,$0.01K,,$0.0K,
Illinois,Office Supplies,Other,Consumer,Storage,6/3/2019,US-2019-163867,Recycled Steel Personal File for Standard File Folders,$0.01K,,$0.1K,
New York,Furniture,O'Sullivan,Consumer,Bookcases,6/4/2019,US-2019-151946,O'Sullivan Living Dimensions 5-Shelf Bookcases,-$0.04K,,$0.4K,
New York,Furniture,G. E.,Consumer,Furnishings,6/4/2019,US-2019-151946,G.E. Halogen Desk Lamp Bulbs,$0.01K,,$0.0K,
New York,Furniture,Seth Thomas,Consumer,Furnishings,6/4/2019,US-2019-151946,"Seth Thomas 14"" Day/Date Wall Clock",$0.02K,,$0.1K,
New York,Office Supplies,Other,Consumer,Appliances,6/4/2019,US-2019-151946,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",$0.00K,,$0.0K,
Ohio,Office Supplies,Easy-staple paper,Home Office,Paper,6/4/2019,US-2019-147914,Easy-staple paper,$0.01K,,$0.0K,
New York,Furniture,Chromcraft,Corporate,Tables,6/6/2019,US-2019-159520,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",-$0.35K,,$1.0K,
New York,Office Supplies,Sanford,Consumer,Art,6/6/2019,US-2019-133270,Sanford Liquid Accent Highlighters,$0.00K,,$0.0K,
Florida,Office Supplies,Other,Consumer,Binders,6/6/2019,US-2019-169257,Presstex Flexible Ring Binders,$0.00K,,$0.0K,
Illinois,Office Supplies,Avery,Consumer,Binders,6/6/2019,US-2019-161305,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",-$0.04K,,$0.0K,
New York,Office Supplies,Wilson Jones,Corporate,Binders,6/6/2019,US-2019-159520,Wilson Jones Century Plastic Molded Ring Binders,$0.05K,,$0.1K,
Illinois,Office Supplies,Other,Consumer,Envelopes,6/6/2019,US-2019-161305,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",$0.00K,,$0.0K,
Texas,Office Supplies,Other,Home Office,Labels,6/6/2019,US-2019-151897,Round Specialty Laser Printer Labels,$0.03K,,$0.1K,
Florida,Office Supplies,Xerox,Consumer,Paper,6/6/2019,US-2019-169257,Xerox 1944,$0.02K,,$0.1K,
New York,Office Supplies,Acme,Corporate,Supplies,6/6/2019,US-2019-159520,Acme Office Executive Series Stainless Steel Trimmers,$0.00K,,$0.0K,
Illinois,Furniture,Bevis,Consumer,Tables,6/7/2019,US-2019-106229,"Bevis Round Conference Table Top, X-Base",-$0.21K,,$0.3K,
Illinois,Office Supplies,Wilson Jones,Corporate,Binders,6/7/2019,US-2019-134971,Wilson Jones Century Plastic Molded Ring Binders,-$0.02K,,$0.0K,
Tennessee,Furniture,Other,Corporate,Chairs,6/8/2019,US-2019-109162,"Situations Contoured Folding Chairs, 4/Set",$0.01K,,$0.2K,
Washington,Furniture,Hon,Consumer,Chairs,6/8/2019,US-2019-141257,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",$0.07K,,$0.6K,
New York,Office Supplies,Other,Consumer,Binders,6/8/2019,US-2019-108147,"Green Canvas Binder for 8-1/2"" x 14"" Sheets",$0.03K,,$0.1K,
New York,Office Supplies,Tennsco,Consumer,Storage,6/8/2019,US-2019-108147,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",$0.08K,,$1.7K,
California,Furniture,Eldon,Consumer,Furnishings,6/9/2019,US-2019-115812,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",$0.01K,,$0.0K,
Nevada,Furniture,Executive Impressions,Corporate,Furnishings,6/9/2019,US-2019-160262,"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",$0.01K,,$0.0K,
California,Furniture,Chromcraft,Consumer,Tables,6/9/2019,US-2019-115812,Chromcraft Rectangular Conference Tables,$0.09K,,$1.7K,
Virginia,Furniture,Bevis,Consumer,Tables,6/9/2019,US-2019-132612,Bevis 44 x 96 Conference Tables,$0.25K,,$1.4K,
California,Office Supplies,Belkin,Consumer,Appliances,6/9/2019,US-2019-115812,Belkin F5C206VTEL 6 Outlet Surge,$0.03K,,$0.1K,
Texas,Office Supplies,Boston,Home Office,Art,6/9/2019,US-2019-133753,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,$0.01K,,$0.1K,
Nevada,Office Supplies,Dixon,Corporate,Art,6/9/2019,US-2019-160262,DIXON Oriole Pencils,$0.00K,,$0.0K,
California,Office Supplies,Newell,Consumer,Art,6/9/2019,US-2019-115812,Newell 322,$0.00K,,$0.0K,
California,Office Supplies,Other,Consumer,Art,6/9/2019,US-2019-133851,Deluxe Chalkboard Eraser Cleaner,$0.01K,,$0.0K,
California,Office Supplies,DXL,Consumer,Binders,6/9/2019,US-2019-115812,DXL Angle-View Binders with Locking Rings by Samsill,$0.01K,,$0.0K,
Nevada,Office Supplies,Xerox,Corporate,Paper,6/9/2019,US-2019-160262,Xerox 1909,$0.04K,,$0.1K,
California,Office Supplies,Staple remover,Consumer,Supplies,6/9/2019,US-2019-133851,Staple remover,$0.00K,,$0.0K,
